사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Nov-23,1호선,150,서울역,754,24,"8,803","9,140","13,291","57,495","42,678","117,863","76,782","241,291","70,589","173,585","64,804","86,966","83,766","75,092","94,257","85,069","90,492","84,813","74,027","75,732","105,384","84,672","122,812","87,232","188,418","101,555","237,941","101,200","126,769","68,343","88,590","49,033","86,918","45,021","56,429","29,277","28,258","13,604","2,582","2,715",0,263,0,0,0,0
Nov-23,1호선,151,시청,85,1,"2,386","4,880","4,126","25,406","8,210","74,544","11,295","204,232","14,695","104,685","17,455","51,517","23,323","49,101","25,705","44,020","32,102","43,695","41,988","36,245","55,122","31,230","67,701","30,484","104,572","32,768","173,255","29,368","67,539","14,928","60,997","9,721","55,036","8,952","33,827","6,717","11,015","4,157",392,989,5,24,0,1,0,0
Nov-23,1호선,152,종각,146,2,"3,933","5,534","4,289","28,364","7,066","112,348","11,327","280,398","14,073","164,732","19,046","66,992","28,863","60,419","35,055","51,298","43,235","50,382","54,498","42,067","67,288","38,243","82,065","41,526","162,089","49,454","232,809","52,381","98,558","25,528","84,732","12,049","89,407","9,145","65,319","6,417","27,321","4,347","1,067",928,0,3,0,0,0,0
Nov-23,1호선,153,종로3가,158,5,"3,832","2,823","3,672","12,311","5,986","26,646","9,848","69,132","13,973","65,669","20,970","56,952","30,125","63,521","41,325","63,410","47,459","59,426","56,135","52,405","66,415","44,643","73,067","42,819","86,360","42,750","97,582","43,090","56,536","22,378","46,582","11,608","49,755","9,165","38,099","7,440","16,026","4,714","1,293","1,967",1,49,0,0,0,0
Nov-23,1호선,154,종로5가,38,0,"2,143","3,994","3,351","16,789","6,345","42,953","10,480","102,462","14,790","69,674","23,562","62,307","36,510","62,719","46,219","59,181","54,318","54,894","61,215","51,247","67,152","43,811","73,267","41,038","95,407","37,658","103,875","33,728","52,783","19,744","37,376","10,400","33,561","7,930","20,196","6,259","6,335","3,718",306,911,0,0,0,0,0,0
Nov-23,1호선,155,동대문,712,23,"11,780","2,144","9,684","6,468","15,581","11,446","21,234","19,660","19,891","22,513","17,382","23,977","19,053","25,774","22,440","25,573","24,260","23,759","26,257","23,035","27,621","21,898","27,857","21,082","26,553","21,328","23,353","22,027","16,063","21,224","14,337","14,402","13,253","13,060","10,008","12,374","4,696","9,311",609,"2,518",3,252,0,0,0,0
Nov-23,1호선,156,신설동,452,23,"9,356","2,201","9,928","8,331","22,239","23,126","33,738","56,566","22,517","34,367","18,745","21,942","20,456","18,617","22,557","18,409","23,782","19,547","23,066","18,728","24,847","20,917","30,335","22,212","42,134","25,120","53,186","31,521","20,479","23,789","13,848","15,934","12,039","15,378","8,401","13,297","3,602","9,413",347,"2,098",2,4,0,0,0,0
Nov-23,1호선,157,제기동,389,5,"5,235","2,298","9,001","9,055","22,364","20,410","34,204","36,641","24,433","33,111","24,694","36,210","31,757","42,653","37,930","46,030","40,040","47,925","44,294","45,451","49,108","38,699","47,211","32,347","43,610","27,591","36,653","27,835","19,292","19,281","12,409","12,475","8,898","11,277","5,897","9,884","2,191","6,106",119,"1,120",0,0,0,0,0,0
Nov-23,1호선,158,청량리(서울시립대입구),"1,098",36,"11,641","3,101","17,862","13,030","47,714","17,605","59,275","37,753","37,006","36,350","31,446","38,316","36,060","43,050","41,470","46,775","44,280","50,700","46,923","48,960","52,987","48,952","57,345","44,732","52,736","45,757","43,391","56,460","22,844","36,417","18,872","22,528","15,238","21,246","9,623","17,788","3,833","11,030",247,"3,629",0,0,0,0,0,0
